Depth sed [m]	Depth corr [m]	Age [ka BP]	G. bulloides [%]	G. inflata [%]	T. truncatulinoides [%]	G. siphonifera [%]	G. ruber [%]	G. rubescens [%]	G. tenella [%]	N. incompta [%]	N. pachyderma s [%]	T. quinqueloba d [%]	T. quinqueloba s [%]	G. glutinata [%]	G. scitula [%]	G. hirsuta [%]	O. universa [%]	T. crassaformis [%]	G. adamsi [%]	G. calida [%]	G. sacculifer [%]	G. digitata [%]	G. trilobus [%]	G. conglobatus [%]	Foram plankt indet [%]	T. quinqueloba [%]	Foram plankt tropical [%]	Foram plankt subpolar [%]	Foram plankt [#]
4.000	4.01	20.47	34.59	7.40	16.16	0.00	0.60	0.00	0.00	12.84	1.81	9.37	11.33	5.59	0.15	0.15	0.00	0	0.00	0	0	0.00	0	0	0	20.69	0.00	22.51	662
4.040	4.05	20.56	24.53	8.35	11.07	0.00	0.17	0.17	0.00	19.42	1.53	12.10	14.82	6.64	1.19	0.00	0.00	0	0.00	0	0	0.00	0	0	0	26.92	0.17	28.45	587
4.080	4.09	20.65	28.00	8.24	12.24	0.00	0.94	0.00	0.00	19.06	1.88	11.76	9.41	8.00	0.47	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.18	0.00	23.06	425
4.100	4.11	20.71	28.18	9.11	11.68	0.00	0.86	0.00	0.00	18.56	3.44	10.82	11.68	4.98	0.69	0.00	0.00	0	0.00	0	0	0.00	0	0	0	22.51	0.00	25.95	582
4.120	4.13	20.78	32.96	8.94	11.92	0.00	0.74	0.00	0.19	20.48	1.86	5.77	9.12	7.26	0.56	0.19	0.00	0	0.00	0	0	0.00	0	0	0	14.90	0.19	16.76	537
4.160	4.17	20.92	34.74	7.58	12.17	0.00	1.06	0.00	0.00	18.52	2.65	8.82	8.99	5.29	0.18	0.00	0.00	0	0.00	0	0	0.00	0	0	0	17.81	0.00	20.46	567
4.200	4.21	21.06	31.82	13.64	11.28	0.00	1.85	0.00	0.17	13.13	2.36	11.11	8.92	5.56	0.17	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.03	0.17	22.39	594
4.220	4.23	21.13	35.00	9.42	13.08	0.00	1.73	0.00	0.00	20.19	1.35	5.77	8.46	4.42	0.58	0.00	0.00	0	0.00	0	0	0.00	0	0	0	14.23	0.00	15.58	520
4.260	4.27	21.27	38.77	7.68	14.20	0.00	0.96	0.00	0.00	13.24	2.50	6.72	9.60	5.95	0.38	0.00	0.00	0	0.00	0	0	0.00	0	0	0	16.31	0.00	18.81	521
4.280	4.29	21.34	40.62	6.01	12.02	0.00	1.68	0.00	0.00	12.26	3.37	9.38	7.93	6.49	0.24	0.00	0.00	0	0.00	0	0	0.00	0	0	0	17.31	0.00	20.67	416
4.320	4.33	21.48	26.29	10.11	15.07	0.00	1.29	0.18	0.18	14.71	2.39	9.74	11.40	7.17	1.10	0.37	0.00	0	0.00	0	0	0.00	0	0	0	21.14	0.37	23.53	544
4.340	4.35	21.54	30.18	7.37	15.26	0.00	0.88	0.00	0.00	14.56	1.05	9.82	11.23	8.77	0.88	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.05	0.00	22.11	570
4.360	4.37	21.61	28.26	8.35	13.02	0.00	0.49	0.25	0.00	14.99	1.97	10.32	13.76	7.86	0.74	0.00	0.00	0	0.00	0	0	0.00	0	0	0	24.08	0.25	26.04	407
4.390	4.40	21.72	31.86	11.83	12.78	0.00	0.95	0.16	0.00	11.04	1.74	8.04	12.30	8.83	0.47	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.35	0.16	22.08	634
4.400	4.41	21.75	29.10	12.37	16.72	0.00	0.84	0.00	0.00	13.21	2.17	7.53	10.37	7.02	0.50	0.00	0.17	0	0.00	0	0	0.00	0	0	0	17.89	0.00	20.07	598
4.420	4.43	21.82	30.63	8.61	15.40	0.00	0.66	0.17	0.00	11.42	1.49	9.11	12.75	9.60	0.17	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.85	0.17	23.34	604
4.460	4.47	21.95	30.56	13.37	14.76	0.00	1.56	0.17	0.00	12.33	1.04	9.38	9.38	7.47	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	18.75	0.17	19.79	576
4.500	4.51	22.08	31.24	13.75	10.81	0.00	1.57	0.00	0.00	9.63	1.38	10.61	11.59	9.23	0.20	0.00	0.00	0	0.00	0	0	0.00	0	0	0	22.20	0.00	23.58	509
4.540	4.55	22.21	23.55	11.07	16.17	0.00	2.28	0.00	0.18	14.24	2.11	9.31	7.91	12.48	0.53	0.18	0.00	0	0.00	0	0	0.00	0	0	0	17.22	0.18	19.33	569
4.560	4.57	22.27	17.36	15.58	14.60	0.00	1.38	0.20	0.00	15.78	3.55	11.05	11.64	8.88	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	22.68	0.20	26.23	507
4.580	4.59	22.34	16.42	10.94	16.04	0.00	0.38	0.57	0.00	11.13	3.02	12.45	16.98	11.89	0.19	0.00	0.00	0	0.00	0	0	0.00	0	0	0	29.43	0.57	32.45	530
4.600	4.61	22.40	21.18	10.42	17.19	0.00	0.87	0.00	0.00	17.36	4.69	9.90	10.76	6.42	1.22	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.66	0.00	25.35	576
4.620	4.63	22.47	23.50	9.47	15.30	0.00	0.55	0.00	0.00	10.56	4.74	14.39	14.75	6.19	0.36	0.18	0.00	0	0.00	0	0	0.00	0	0	0	29.14	0.00	33.88	549
4.660	4.67	22.60	19.56	9.18	19.56	0.00	2.20	0.20	0.00	13.37	1.20	13.97	12.97	7.58	0.00	0.20	0.00	0	0.00	0	0	0.00	0	0	0	26.95	0.20	28.14	501
4.700	4.71	22.73	29.01	11.83	13.36	0.00	1.34	0.00	0.00	16.79	2.10	8.02	9.73	7.63	0.19	0.00	0.00	0	0.00	0	0	0.00	0	0	0	17.75	0.00	19.85	524
4.720	4.73	22.79	37.82	12.28	11.09	0.00	1.58	0.00	0.00	10.69	1.39	8.32	9.70	6.73	0.40	0.00	0.00	0	0.00	0	0	0.00	0	0	0	18.02	0.00	19.41	505
4.740	4.75	22.86	32.21	11.93	13.92	0.00	1.59	0.20	0.00	12.33	0.40	6.76	8.55	11.53	0.40	0.20	0.00	0	0.00	0	0	0.00	0	0	0	15.31	0.20	15.71	503
4.780	4.79	22.99	33.60	11.26	15.02	0.00	2.57	0.20	0.00	12.65	2.57	6.72	8.89	6.52	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	15.61	0.20	18.18	506
4.800	4.81	23.05	26.74	9.47	12.13	0.00	1.33	0.00	0.00	13.95	1.66	10.47	11.30	12.46	0.33	0.17	0.00	0	0.00	0	0	0.00	0	0	0	21.76	0.00	23.42	602
4.820	4.83	23.12	33.52	11.11	13.11	0.00	0.73	0.00	0.18	11.11	4.37	9.65	8.93	6.92	0.36	0.00	0.00	0	0.00	0	0	0.00	0	0	0	18.58	0.18	22.95	549
4.840	4.85	23.18	27.63	9.33	12.95	0.00	0.52	0.00	0.00	13.30	3.45	9.84	13.47	9.15	0.35	0.00	0.00	0	0.00	0	0	0.00	0	0	0	23.32	0.00	26.77	579
4.860	4.87	23.25	31.84	9.71	12.43	0.00	0.39	0.00	0.00	18.06	4.47	8.74	9.13	4.47	0.78	0.00	0.00	0	0.00	0	0	0.00	0	0	0	17.86	0.00	22.33	515
4.890	4.90	23.35	29.68	13.60	16.08	0.00	0.53	0.00	0.00	11.13	1.94	8.30	12.72	6.01	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.02	0.00	22.97	566
4.900	4.91	23.38	27.86	18.42	15.02	0.00	0.62	0.00	0.00	11.92	2.48	8.82	9.75	5.11	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	18.58	0.00	21.05	646
4.940	4.95	23.46	28.49	11.83	12.54	0.00	0.72	0.00	0.00	13.08	1.97	12.01	11.83	7.35	0.18	0.00	0.00	0	0.00	0	0	0.00	0	0	0	23.84	0.00	25.81	558
4.980	4.99	23.54	30.34	8.78	14.89	0.00	0.95	0.00	0.00	13.36	1.91	10.88	12.60	6.30	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	23.47	0.00	25.38	524
5.000	5.01	23.58	24.17	8.33	11.50	0.00	0.67	0.17	0.00	11.50	2.00	15.67	17.83	7.83	0.17	0.17	0.00	0	0.00	0	0	0.00	0	0	0	33.50	0.17	35.50	600
5.020	5.03	23.62	33.87	8.38	11.41	0.00	0.36	0.00	0.00	12.30	1.96	13.37	11.94	6.42	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	25.31	0.00	27.27	561
5.060	5.07	23.70	29.60	11.38	15.76	0.00	0.70	0.00	0.00	11.03	1.93	12.61	9.63	7.18	0.18	0.00	0.00	0	0.00	0	0	0.00	0	0	0	22.24	0.00	24.17	571
5.100	5.11	23.78	30.39	9.54	10.25	0.00	1.41	0.00	0.18	15.37	3.36	9.54	12.19	7.77	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.73	0.18	25.09	566
5.140	5.15	23.86	34.66	10.65	10.11	0.00	1.08	0.00	0.00	13.00	4.69	7.40	11.37	6.86	0.00	0.18	0.00	0	0.00	0	0	0.00	0	0	0	18.77	0.00	23.47	554
5.180	5.19	23.94	34.19	10.05	10.79	0.00	0.55	0.00	0.00	17.37	3.84	5.48	10.60	6.76	0.00	0.37	0.00	0	0.00	0	0	0.00	0	0	0	16.09	0.00	19.93	547
5.200	5.21	23.98	28.34	10.14	12.90	0.00	0.92	0.23	0.00	12.90	2.76	10.37	14.52	6.45	0.23	0.23	0.00	0	0.00	0	0	0.00	0	0	0	24.88	0.23	27.65	434
5.220	5.23	24.02	28.49	12.10	13.04	0.00	2.42	0.00	0.00	12.66	3.54	9.87	10.99	6.52	0.37	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.86	0.00	24.39	537
5.240	5.25	24.06	32.50	10.83	15.09	0.00	2.32	0.00	0.00	10.64	1.55	10.83	9.86	6.00	0.39	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.70	0.00	22.24	517
5.260	5.27	24.10	38.54	10.08	15.42	0.00	3.16	0.59	0.00	9.49	0.40	7.51	9.88	4.94	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	17.39	0.59	17.79	506
5.280	5.29	24.14	39.67	10.52	22.14	0.00	4.06	0.00	0.00	7.56	0.18	5.72	5.90	3.87	0.18	0.18	0.00	0	0.00	0	0	0.00	0	0	0	11.62	0.00	11.81	542
5.300	5.31	24.18	40.63	10.22	15.33	0.00	3.89	0.00	0.00	10.95	0.97	6.08	5.84	5.35	0.73	0.00	0.00	0	0.00	0	0	0.00	0	0	0	11.92	0.00	12.90	411
5.320	5.33	24.22	46.40	10.04	13.45	0.00	4.73	0.00	0.00	7.39	0.19	4.17	5.68	7.58	0.38	0.00	0.00	0	0.00	0	0	0.00	0	0	0	9.85	0.00	10.04	528
5.350	5.36	24.28	37.76	8.91	14.05	0.00	3.78	0.30	0.00	11.78	1.21	6.50	7.40	7.70	0.45	0.15	0.00	0	0.00	0	0	0.00	0	0	0	13.90	0.30	15.11	662
5.380	5.39	24.38	32.71	10.05	13.12	0.00	1.02	0.00	0.17	13.29	3.24	9.71	9.37	7.33	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	19.08	0.17	22.32	587
5.400	5.41	24.42	31.78	9.96	10.59	0.00	0.21	0.00	0.00	11.23	3.18	11.23	14.41	6.78	0.21	0.42	0.00	0	0.00	0	0	0.00	0	0	0	25.64	0.00	28.81	472
5.420	5.43	24.70	36.41	8.38	9.57	0.00	0.85	0.00	0.00	12.99	2.05	10.94	10.77	8.03	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.71	0.00	23.76	585
5.440	5.45	24.83	36.45	9.85	12.56	0.00	0.74	0.00	0.00	9.11	2.71	9.85	12.32	6.40	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	22.17	0.00	24.88	406
5.460	5.47	25.00	37.03	10.15	12.78	0.00	1.13	0.00	0.00	8.65	3.95	9.77	11.84	4.51	0.00	0.19	0.00	0	0.00	0	0	0.00	0	0	0	21.62	0.00	25.56	532
